zipcode,weather,humidity,airquality,light,pressure,temperature
08820,Mild,dry,clean,Sunny,1 APA,10
08821,Mild,dry,clean,Sunny,2 APA,11
08822,Mild,dry,clean,Sunny,3 APA,12
08823,Mild,dry,clean,Sunny,4 APA,13
08824,Mild,dry,clean,Sunny,5 APA,14
08825,Mild,dry,clean,Sunny,6 APA,15
08826,Mild,dry,clean,Sunny,7 APA,16
08827,Mild,dry,clean,Sunny,8 APA,17
08828,Mild,Humid,Poor,Cloudy,30 APA,20
08829,Mild,dry,clean,Sunny,10 APA,19
08830,Mild,dry,clean,Sunny,11 APA,20
08831,Mild,dry,clean,Sunny,12 APA,21
08832,Mild,dry,clean,Sunny,13 APA,22
08833,Mild,dry,clean,Sunny,14 APA,23
08834,Mild,dry,clean,Sunny,15 APA,24
08835,Mild,dry,clean,Sunny,16 APA,25
08836,Mild,dry,clean,Sunny,17 APA,26
08837,Mild,dry,clean,Sunny,18 APA,27
08838,Mild,dry,clean,Sunny,19 APA,28
08839,Mild,dry,clean,Sunny,20 APA,29
08840,Mild,dry,clean,Sunny,21 APA,30
08841,Mild,dry,clean,Sunny,22 APA,31
08842,Mild,dry,clean,Sunny,23 APA,32
08843,Mild,Humid,Poor,Cloudy,24 APA,33
08844,Mild,dry,clean,Sunny,25 APA,34
08845,Mild,dry,clean,Sunny,26 APA,35
08846,Mild,Humid,Poor,Cloudy,27 APA,36
08847,Mild,dry,clean,Sunny,28 APA,37
08848,Mild,dry,clean,Sunny,29 APA,38
08849,Mild,Humid,Poor,Cloudy,30 APA,39
08850,Mild,dry,clean,Sunny,31 APA,40
08851,Mild,dry,clean,Sunny,32 APA,41
